target,setsize,location,dyn,resp,rt,sub,exp,correct
Absent,16,3,Static,2,0.830829813610762,1,4,1
Absent,12,2,Static,2,0.650839061237093,1,4,1
Absent,12,3,Static,2,0.730766953145576,1,4,1
Absent,8,1,Static,2,0.560760897662476,1,4,1
Present,8,2,Static,1,0.570785602106298,1,4,1
Present,12,3,Static,1,0.87080080931355,1,4,1
Absent,8,4,Static,2,0.650789036509195,1,4,1
Absent,8,3,Static,2,0.830813686819965,1,4,1
Absent,8,1,Static,2,0.590809814680142,1,4,1
Present,16,1,Static,1,1.0808894588763,1,4,1
Present,8,1,Static,1,0.600758836620116,1,4,1
Present,12,1,Static,1,0.790837535838364,1,4,1
Present,16,3,Static,1,0.820802239479235,1,4,1
Present,16,3,Static,1,0.78084149886763,1,4,1
Present,8,2,Static,1,0.590835450067061,1,4,1
Present,8,3,Static,1,0.630827902936289,1,4,1
Absent,8,3,Static,2,0.730797663282829,1,4,1
Absent,8,2,Static,2,0.560806178115854,1,4,1
Present,12,4,Static,1,0.520790633416254,1,4,1
Absent,8,2,Static,2,0.660814698295326,1,4,1
Absent,16,4,Static,2,1.07084049975583,1,4,1
Present,16,1,Static,1,0.520735393596624,1,4,1
Present,16,1,Static,1,0.610807765332538,1,4,1
Absent,12,2,Static,2,0.580861787506365,1,4,1
Absent,16,2,Static,2,1.01085211049667,1,4,1
Present,8,1,Static,1,0.610816449245249,1,4,1
Absent,8,1,Static,2,0.580824418744669,1,4,1
Present,8,2,Static,1,0.620805737370574,1,4,1
Present,12,1,Static,1,0.510767803559247,1,4,1
Absent,12,2,Static,2,0.490768815368938,1,4,1
Present,12,3,Static,1,0.510786308835122,1,4,1
Present,12,2,Static,1,0.720835930242174,1,4,1
Present,16,4,Static,1,0.770794003327865,1,4,1
Absent,8,2,Static,2,0.570821567769599,1,4,1
Absent,8,4,Static,2,0.520889344930765,1,4,1
Absent,12,4,Static,2,0.750786368982517,1,4,1
Absent,12,4,Static,2,0.710806764551307,1,4,1
Absent,8,3,Static,2,0.470760742283346,1,4,1
Present,8,2,Static,1,0.490777604204595,1,4,1
Present,12,3,Static,1,0.84083870703671,1,4,1
Present,16,2,Static,1,0.700839981822355,1,4,1
Present,8,4,Static,1,0.55078707237044,1,4,1
Present,16,3,Static,1,0.600769440230579,1,4,1
Absent,8,2,Static,2,0.620786926012443,1,4,1
Present,8,3,Static,1,0.55078521048199,1,4,1
Present,12,4,Static,1,0.510782930570713,1,4,1
Present,12,4,Static,1,0.700873010297983,1,4,1
Absent,12,1,Static,2,0.740806754860387,1,4,1
Absent,8,3,Static,2,0.500757920378419,1,4,1
Absent,12,3,Static,2,0.890793289247995,1,4,1
Absent,8,4,Static,2,0.510793258506055,1,4,1
Absent,16,1,Static,2,1.10085169447939,1,4,1
Present,12,2,Static,1,0.700810960816852,1,4,1
Absent,16,1,Static,2,0.710784264834729,1,4,1
Present,12,1,Static,1,0.770783247345207,1,4,1
Present,16,2,Static,1,0.570775652763587,1,4,1
Absent,12,3,Static,2,0.830870986680566,1,4,1
Absent,16,2,Static,2,1.03084684594978,1,4,1
Present,8,3,Static,1,0.550797670968677,1,4,1
Absent,12,1,Static,2,0.720806768894363,1,4,1
Present,16,4,Static,1,0.520747315096742,1,4,1
Absent,8,1,Static,2,0.510857498011319,1,4,1
Absent,16,4,Static,2,0.820867945239115,1,4,1
Absent,16,3,Static,2,0.940833959754855,1,4,1
Present,8,4,Static,1,0.560847750161884,1,4,1
Present,8,1,Static,1,0.630795082969598,1,4,1
Absent,16,3,Static,2,1.00086463480693,1,4,1
Present,16,3,Static,1,0.500775864281422,1,4,1
Present,12,1,Dynamic,1,0.850851532415618,1,4,1
Present,8,3,Dynamic,1,0.85087545361057,1,4,1
Present,8,1,Dynamic,1,0.880794224869533,1,4,1
Present,16,2,Dynamic,1,1.46091002486082,1,4,1
Present,12,4,Dynamic,1,0.880861517179255,1,4,1
Absent,12,4,Dynamic,2,0.790811111184667,1,4,1
Absent,12,2,Dynamic,2,0.510806155059072,1,4,1
Absent,8,3,Dynamic,2,0.920867097164773,1,4,1
Absent,8,3,Dynamic,2,1.3009137850604,1,4,1
Absent,16,3,Dynamic,2,0.700822496374713,1,4,1
Present,16,3,Dynamic,1,0.610781170263181,1,4,1
Present,8,3,Dynamic,1,0.560787046641053,1,4,1
Absent,8,2,Dynamic,2,0.590806759538282,1,4,1
Present,8,4,Dynamic,1,0.530875703554557,1,4,1
Present,8,2,Dynamic,1,0.700878075022956,1,4,1
Present,12,4,Dynamic,1,0.570779863065582,1,4,1
Absent,8,2,Dynamic,2,0.730848487633011,1,4,1
Present,12,3,Dynamic,1,0.640811294299965,1,4,1
Absent,16,4,Dynamic,1,0.590787307278333,1,4,0
Absent,8,1,Dynamic,2,0.550785142649147,1,4,1
Absent,16,2,Dynamic,2,0.860818616213692,1,4,1
Absent,16,1,Dynamic,2,0.760755658177004,1,4,1
Absent,12,2,Dynamic,2,0.490758783156707,1,4,1
Absent,12,1,Dynamic,2,0.590785169380979,1,4,1
Absent,12,3,Dynamic,2,0.75088458929531,1,4,1
Absent,8,4,Dynamic,2,0.710840023591118,1,4,1
Present,12,2,Dynamic,1,0.64078027072901,1,4,1
Present,16,1,Dynamic,1,0.870826447040599,1,4,1
Absent,8,4,Dynamic,2,0.94082869687827,1,4,1
Present,16,3,Dynamic,1,0.730875356038268,1,4,1
Present,12,2,Dynamic,1,0.550776907500222,1,4,1
Present,12,1,Dynamic,1,0.730804580205586,1,4,1
Present,16,2,Dynamic,1,0.530753090895814,1,4,1
Present,12,3,Dynamic,1,0.600752922149695,1,4,1
Absent,16,1,Dynamic,1,0.580801660395991,1,4,0
Absent,16,4,Dynamic,2,1.29083814833575,1,4,1
Absent,16,3,Dynamic,2,0.640769582244502,1,4,1
Absent,12,4,Dynamic,2,0.620795602573708,1,4,1
Present,8,1,Dynamic,1,0.530798933056758,1,4,1
Present,16,4,Dynamic,1,1.43093676294666,1,4,1
Present,8,2,Dynamic,2,0.700794244919052,1,4,0
Present,8,4,Dynamic,1,0.520782057434189,1,4,1
Present,16,1,Dynamic,1,0.870781256473492,1,4,1
Absent,12,3,Dynamic,2,1.55096099189359,1,4,1
Absent,16,2,Dynamic,2,1.39090251715879,1,4,1
Present,16,4,Dynamic,1,0.770834993617427,1,4,1
Absent,12,1,Dynamic,2,0.890822550840312,1,4,1
Absent,8,1,Dynamic,2,1.19087596653117,1,4,1
Present,12,1,Dynamic,1,0.940846810864059,1,4,1
Present,16,3,Dynamic,1,0.830803141018805,1,4,1
Absent,12,3,Dynamic,2,1.2308682092189,1,4,1
Absent,16,2,Dynamic,1,0.60077293611721,1,4,0
Present,8,3,Dynamic,1,0.540819179258506,1,4,1
Present,8,3,Dynamic,2,0.590829076807495,1,4,0
Absent,16,1,Dynamic,2,1.36087167202368,1,4,1
Absent,8,4,Dynamic,2,2.72111865531042,1,4,1
Absent,16,3,Dynamic,2,1.18084360802823,1,4,1
Absent,16,3,Dynamic,2,1.10084544919846,1,4,1
Absent,8,4,Dynamic,2,1.09087081993948,1,4,1
Absent,16,1,Dynamic,2,0.820876012310691,1,4,1
Absent,16,4,Dynamic,2,0.97083529802967,1,4,1
Present,12,4,Dynamic,1,0.650811468726715,1,4,1
Present,12,1,Dynamic,1,0.800799624748834,1,4,1
Absent,16,4,Dynamic,2,1.52089850667926,1,4,1
Absent,16,2,Dynamic,2,1.4309558820587,1,4,1
Present,12,2,Dynamic,1,0.56081406775229,1,4,1
Absent,12,3,Dynamic,2,1.11085242560148,1,4,1
Absent,12,1,Dynamic,2,0.840835767510725,1,4,1
Present,16,2,Dynamic,1,1.18086168993523,1,4,1
Absent,12,1,Dynamic,2,0.800906403666886,1,4,1
Present,16,2,Dynamic,1,0.790848735572581,1,4,1
Present,8,1,Dynamic,1,0.580785583727447,1,4,1
Absent,8,2,Dynamic,2,1.42089638716061,1,4,1
Present,16,1,Dynamic,1,0.680769728936866,1,4,1
Absent,12,2,Dynamic,2,0.80080626365816,1,4,1
Present,8,4,Dynamic,1,0.630828880327499,1,4,1
Absent,8,3,Dynamic,2,1.02082760754638,1,4,1
Present,8,1,Dynamic,1,0.790828762037563,1,4,1
Absent,12,2,Dynamic,2,0.990845867222561,1,4,1
Absent,8,1,Dynamic,2,1.00087443378106,1,4,1
Present,16,1,Dynamic,1,0.700791811298586,1,4,1
Present,8,2,Dynamic,1,0.630798578856229,1,4,1
Present,16,4,Dynamic,1,0.760813547145517,1,4,1
Present,16,3,Dynamic,1,0.600760470618297,1,4,1
Absent,8,3,Dynamic,2,0.740800702385059,1,4,1
Absent,8,2,Dynamic,2,0.640806843410246,1,4,1
Absent,12,4,Dynamic,2,0.81081494389673,1,4,1
Present,12,3,Dynamic,1,0.600859966383723,1,4,1
Absent,8,1,Dynamic,2,0.720797105250313,1,4,1
Present,16,4,Dynamic,1,0.790847843390111,1,4,1
Present,8,4,Dynamic,1,0.580818574445402,1,4,1
Present,12,3,Dynamic,1,0.570862480201868,1,4,1
Absent,12,4,Dynamic,2,0.800808897435672,1,4,1
Present,8,2,Dynamic,1,0.560792319208304,1,4,1
Present,12,2,Dynamic,1,1.11092438666674,1,4,1
Present,12,4,Dynamic,1,0.61078634057958,1,4,1
Absent,16,2,Static,2,1.02080109000053,1,4,1
Absent,12,3,Static,2,0.570813006488606,1,4,1
Absent,16,4,Static,2,1.26088126850391,1,4,1
Absent,8,4,Static,2,0.500782906176937,1,4,1
Absent,12,4,Static,2,0.500815260670606,1,4,1
Present,8,3,Static,1,0.610780643975886,1,4,1
Present,16,2,Static,2,0.830821305461541,1,4,0
Present,8,3,Static,1,0.580776311040609,1,4,1
Present,16,1,Static,1,0.500800371575679,1,4,1
Present,12,4,Static,1,0.490767614764081,1,4,1
Present,12,1,Static,1,0.730790580954817,1,4,1
Present,16,4,Static,1,0.480739917999927,1,4,1
Absent,16,4,Static,2,0.740803469154343,1,4,1
Present,12,3,Static,1,0.590767644169318,1,4,1
Absent,12,2,Static,2,0.550781516443749,1,4,1
Absent,16,2,Static,2,0.750805881723863,1,4,1
Present,8,4,Static,1,0.490791495525627,1,4,1
Present,16,3,Static,1,0.570811620766108,1,4,1
Absent,8,2,Static,2,0.51081925444214,1,4,1
Absent,12,2,Static,2,0.820799780796733,1,4,1
Present,16,1,Static,1,0.820793164944007,1,4,1
Present,12,2,Static,1,0.550809537334317,1,4,1
Absent,8,3,Static,2,0.520796162277293,1,4,1
Present,8,4,Static,1,0.870843418563709,1,4,1
Present,8,1,Static,1,0.580762106286784,1,4,1
Present,8,1,Static,1,0.690796345726085,1,4,1
Present,12,4,Static,1,0.590795707832513,1,4,1
Absent,16,1,Static,2,0.76085426175996,1,4,1
Absent,12,3,Static,2,1.10084410089985,1,4,1
Absent,8,2,Static,2,0.540790042971821,1,4,1
Present,16,2,Static,1,0.670807028530362,1,4,1
Present,8,2,Static,1,0.620788056445235,1,4,1
Absent,8,1,Static,2,0.760798179546327,1,4,1
Absent,12,1,Static,2,0.770792515019821,1,4,1
Present,12,2,Static,1,0.910806354547276,1,4,1
Absent,8,1,Static,2,0.670841006663068,1,4,1
Present,8,2,Static,1,0.550782375879862,1,4,1
Absent,12,1,Static,2,0.830863824490734,1,4,1
Absent,16,3,Static,2,0.870815114312791,1,4,1
Absent,16,3,Static,2,0.780806563391707,1,4,1
Present,12,3,Static,1,0.560773165010687,1,4,1
Absent,12,4,Static,2,0.540776559982987,1,4,1
Absent,16,1,Static,2,0.830838570034757,1,4,1
Absent,8,3,Static,2,0.530779535597503,1,4,1
Present,16,3,Static,1,0.670830453509552,1,4,1
Absent,8,4,Static,2,0.460777168137611,1,4,1
Present,16,4,Static,1,0.580787586294718,1,4,1
Present,12,1,Static,1,0.550778656780494,1,4,1
Absent,12,3,Dynamic,2,0.660802919475827,1,4,1
Absent,16,4,Dynamic,2,0.730846745704184,1,4,1
Present,8,4,Dynamic,1,0.580823817273085,1,4,1
Absent,16,2,Dynamic,2,1.53094659333146,1,4,1
Present,16,2,Dynamic,2,1.1508704136113,1,4,0
Present,16,2,Dynamic,1,0.770810819805774,1,4,1
Absent,8,4,Dynamic,2,0.690773572674516,1,4,1
Absent,16,1,Dynamic,2,0.720825196648548,1,4,1
Present,12,1,Dynamic,1,0.590777673708544,1,4,1
Absent,12,4,Dynamic,2,1.46091635033736,1,4,1
Present,8,1,Dynamic,1,0.550795949088752,1,4,1
Absent,8,1,Dynamic,2,0.780858490439641,1,4,1
Present,8,3,Dynamic,1,0.55076382549305,1,4,1
Absent,8,2,Dynamic,2,1.10086528272586,1,4,1
